"","Mice","Number","Mouse_ID","Strain","sex","DOB","parents","Western_Diet","Sac_Date","weight_g","length_cm","ab_fat","other_fat","total_fat","comments","X100xfat_weight","Trigly","Total_Chol","HDL_Chol","UC","FFA","Glucose","LDL_plus_VLDL","MCP_1_phys","Insulin_ug_l","Glucose_Insulin","Leptin_pg_ml","Adiponectin","Aortic.lesions","Note","Aneurysm","Aortic_cal_M","Aortic_cal_L","CoronaryArtery_Cal","Myocardial_cal","BMD_all_limbs","BMD_femurs_only","Treatment"
"7","F2_296",296,"308-2","BxH ApoE-/-, F2",2,"2002-03-22",232,"2002-05-14","2002-09-11",38.8,10.2,3.28,1.64,4.92,NA,12.680412371134,120,1386,29,539,131,569,1357,109.494,978,0.581799591002045,68410.52,8.71,133250,NA,0,0,7,0,0,0.0621,0.09105,"B"
"9","F2_298",298,"308-4","BxH ApoE-/-, F2",2,"2002-03-22",232,"2002-05-14","2002-09-11",33.4,10,2.19,1.81,4,NA,11.9760479041916,65,1334,19,504,110,568,1315,87.668,560,1.01428571428571,74253.66,14.237,301500,NA,6,0,0,0,0,NA,NA,"B"
"10","F2_299",299,"338-1","BxH ApoE-/-, F2",2,"2002-03-22",109,"2002-05-14","2002-09-11",40,9.9,3.41,2.68,6.09,NA,15.225,83,1114,33,459,131,464,1081,129.976,1151,0.403127715030408,114169.02,7.592,57500,NA,0,0,0,6,0,0.0575,0.08275,"B"
"11","F2_300",300,"338-2","BxH ApoE-/-, F2",2,"2002-03-22",109,"2002-05-14","2002-09-11",41.1,9.8,4.01,3.29,7.3,NA,17.7615571776156,80,1414,27,620,157,599,1387,121.318,2823,0.212185618136734,200970.8,14.366,62750,NA,3,3,0,0,78,0.0523,0.0746,"B"
"13","F2_302",302,"338-4","BxH ApoE-/-, F2",2,"2002-03-22",109,"2002-05-14","2002-09-11",44,10.5,3.6,2.05,5.65,NA,12.8409090909091,121,1468,33,739,191,655,1435,117.122,4506,0.145361739902352,162679.62,8.404,126750,NA,22,10,4,1,52,0.0588,0.08605,"B"
"14","F2_303",303,"373-1","BxH ApoE-/-, F2",2,"2002-04-11",NA,"2002-07-24","2002-09-11",41.9,10.1,3.5,2.37,5.87,NA,14.0095465393795,91,1444,25,534,130,477,1419,NA,1596,0.298872180451128,383322.2,12.048,154500,NA,39,3,0,0,0,NA,NA,"B"
"15","F2_304",304,"373-2","BxH ApoE-/-, F2",2,"2002-04-11",NA,"2002-07-24","2002-09-11",37.6,10.1,3.36,1.87,5.23,NA,13.9095744680851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352750,NA,6,1,2,0,0,0.0553,0.0784,"B"
"16","F2_305",305,"373-3","BxH ApoE-/-, F2",2,"2002-04-11",NA,"2002-07-24","2002-09-11",34.1,10.1,2.52,1.58,4.1,NA,12.0234604105572,91,1475,24,589,134,503,1451,NA,1094,0.459780621572212,124436.08,10.319,190250,NA,16,0,0,0,0,NA,NA,"B"
"17","F2_306",306,"374-1","BxH ApoE-/-, F2",2,"2002-04-11",NA,"2002-07-24","2002-09-11",42.9,10.2,3.86,2.35,6.21,NA,14.4755244755245,48,1632,33,577,100,484,1599,144.128,3533,0.136994056043023,270467.6,14.718,166750,NA,6,0,4,0,0,NA,NA,"B"
"18","F2_307",307,"374-2","BxH ApoE-/-, F2",2,"2002-04-11",NA,"2002-07-24","2002-09-11",35.3,9.8,2.48,2.03,4.51,NA,12.7762039660057,0,1277,23,566,131,488,1254,144.904,421,1.15914489311164,101448.8,22.469,275500,NA,NA,NA,NA,0,1,NA,NA,"B"
"19","F2_308",308,"374-3","BxH ApoE-/-, F2",1,"2002-04-14",NA,"2002-07-24","2002-09-11",40.5,10,3.27,2.32,5.59,NA,13.8024691358025,7,1284,28,582,142,575,1256,87.378,3130,0.18370607028754,285963,17.142,192750,NA,27,6,3,0,0,0.0502,0.0721,"B"
"20","F2_309",309,"327-1","BxH ApoE-/-, F2",2,"2002-04-11",230,"2002-07-24","2002-11-13",40.7,10.9,3.13,2.16,5.29,NA,12.997542997543,30,1657,28,506,77,417,1629,125.294,821,0.507917174177832,159643.64,14.343,318000,NA,20,0,0,0,0,0.0573,0.07945,"B"
"21","F2_310",310,"327-2","BxH ApoE-/-, F2",2,"2002-04-11",230,"2002-07-24","2002-11-13",39.5,10.6,2.47,2.07,4.54,NA,11.493670886076,24,1287,32,457,103,418,1255,140.806,1082,0.386321626617375,194313.18,24.737,268000,NA,22,0,0,0,0,0.056,0.0813,"B"
"22","F2_311",311,"327-3","BxH ApoE-/-, F2",2,"2002-04-11",230,"2002-07-24","2002-11-13",33.6,9.9,2.4,1.77,4.17,NA,12.4107142857143,63,1183,25,406,100,369,1158,102.128,1206,0.305970149253731,108510.66,16.383,183000,NA,0,0,0,0,0,0.0565,0.07995,"B"
"23","F2_312",312,"327-4","BxH ApoE-/-, F2",2,"2002-04-11",230,"2002-07-24","2002-11-13",39.4,10.1,2.7,2.75,5.45,NA,13.8324873096447,112,1442,53,553,144,522,1389,127.282,1073,0.486486486486487,226996.2,12.425,411250,NA,0,0,13,0,0,0.0551,0.076,"B"
"334","F2_320",320,"343-1","BxH ApoE-/-, F2",2,"2002-04-16",228,"2002-07-24","2002-11-13",39.2,10.3,1.88,2.32,4.2,NA,10.7142857142857,59,794,25,321,92,316,769,127.282,1022,0.309197651663405,68926.58,15.384,238750,NA,14,0,0,0,0,0.0591,0.0807,"B"
"335","F2_321",321,"343-2","BxH ApoE-/-, F2",2,"2002-04-16",228,"2002-07-24","2002-11-13",45.3,10.6,2.5,2.66,5.16,NA,11.3907284768212,95,1667,45,705,149,644,1622,148.576,10335,0.0623125302370585,172820.02,12.688,312750,NA,25,1,12,0,0,0.0556,0.08035,"B"
"337","F2_323",323,"343-4","BxH ApoE-/-, F2",2,"2002-04-16",228,"2002-07-24","2002-11-13",43,10.1,3.14,2.88,6.02,NA,14,95,922,60,314,76,365,862,156.62,1134,0.321869488536155,205015.6,7.151,83000,NA,0,0,0,0,0,0.0588,0.08885,"B"
"338","F2_324",324,"354-1","BxH ApoE-/-, F2",2,"2002-05-06",228,"2002-07-24","2002-11-13",38.3,9.8,2.48,2.31,4.79,NA,12.5065274151436,93,1300,52,427,83,332,1248,146.458,1480,0.224324324324324,159873.28,5.943,129500,NA,13,0,0,0,0,0.0529,0.0704,"B"
"339","F2_325",325,"354-2","BxH ApoE-/-, F2",2,"2002-05-06",228,"2002-07-24","2002-11-13",40.8,9.7,2.42,2.65,5.07,NA,12.4264705882353,76,1299,28,497,119,413,1271,146.6,1721,0.239976757699012,207949.4,11.174,57500,NA,19,2,0,0,1,0.052,0.0735,"B"
"340","F2_326",326,"354-3","BxH ApoE-/-, F2",2,"2002-05-06",228,"2002-07-24","2002-11-13",32.4,9.9,2.26,1.53,3.79,NA,11.6975308641975,35,971,12,399,87,395,959,144.482,579,0.682210708117444,75031.7,17.993,246000,NA,27,10,0,0,0,0.0525,0.07425,"B"
"341","F2_327",327,"354-4","BxH ApoE-/-, F2",2,"2002-05-06",228,"2002-07-24","2002-11-13",40.5,10.1,2.98,2.47,5.45,NA,13.4567901234568,44,1291,16,489,94,442,1275,176.976,1217,0.363188167625308,132981.3,17.458,313750,NA,21,6,0,0,0,0.0509,0.0699,"B"
"342","F2_328",328,"354-5","BxH ApoE-/-, F2",2,"2002-05-06",228,"2002-07-24","2002-11-13",36.1,9.7,1.89,2.07,3.96,NA,10.9695290858726,75,1004,43,358,92,376,961,258.53,947,0.397043294614572,224701.8,9.939,221250,NA,0,0,0,0,0,0.0529,0.07245,"B"
"343","F2_329",329,"359-1","BxH ApoE-/-, F2",2,"2002-05-06",NA,"2002-07-24","2002-11-13",34,9.9,2.12,1.67,3.79,NA,11.1470588235294,28,765,15,266,60,256,750,109.994,577,0.44367417677643,63797.58,15.756,143250,NA,0,0,13,0,0,0.0507,0.06955,"B"
"344","F2_330",330,"359-2","BxH ApoE-/-, F2",2,"2002-05-06",NA,"2002-07-24","2002-11-13",34.4,10.6,1.54,1.26,2.8,NA,8.13953488372093,44,1093,32,351,65,338,1061,60.622,591,0.571912013536379,10302.78,5.507,60750,NA,0,0,4,0,1,0.0588,0.08395,"B"
"346","F2_332",332,"359-4","BxH ApoE-/-, F2",2,"2002-05-06",NA,"2002-07-24","2002-11-13",35.3,10.7,1.84,1.48,3.32,"sort of clippered",9.40509915014164,20,963,36,323,57,340,927,86.366,436,0.779816513761468,28512.1,9.119,366250,NA,38,3,0,NA,NA,0.0582,0.0831,"B"
"186","F2_355",355,"364-1","BxH ApoE-/-, F2",2,"2002-05-31",228,"2002-07-24","2002-11-13",40.9,10.4,2.78,1.91,4.69,"spleenomegaly",11.4669926650367,199,663,30,280,95,358,633,189.248,829,0.431845597104946,55794.9,12.134,109500,NA,22,0,0,NA,NA,0.0564,0.07865,"B"
"188","F2_357",357,"364-3","BxH ApoE-/-, F2",2,"2002-05-31",228,"2002-07-24","2002-11-13",45.7,10.8,4.45,2.69,7.14,NA,15.6236323851203,44,1118,51,326,67,372,1067,130.184,1795,0.207242339832869,169716.36,NA,214750,NA,27,5,0,NA,NA,NA,NA,"B"
